userid,username,date,month,year,projectid,projectname,timelog
1,Alice,2016-01-01,Jan,2016,4,Project Delta,162
2,Bob,2016-01-01,Jan,2016,4,Project Delta,70
3,Charlie,2016-01-01,Jan,2016,1,Project Alpha,187
4,Diana,2016-01-01,Jan,2016,2,Project Beta,144
5,Eve,2016-01-01,Jan,2016,5,Project Epsilon,100
6,Frank,2016-01-01,Jan,2016,5,Project Epsilon,122
7,Grace,2016-01-01,Jan,2016,2,Project Beta,130
8,Hank,2016-01-01,Jan,2016,1,Project Alpha,177
9,Ivy,2016-01-01,Jan,2016,1,Project Alpha,109
10,Jack,2016-01-01,Jan,2016,2,Project Beta,102
11,Kelly,2016-01-01,Jan,2016,2,Project Beta,144
12,Liam,2016-01-01,Jan,2016,1,Project Alpha,159
13,Mia,2016-01-01,Jan,2016,2,Project Beta,116
14,Noah,2016-01-01,Jan,2016,3,Project Gamma,139
15,Olivia,2016-01-01,Jan,2016,2,Project Beta,131
16,Peter,2016-01-01,Jan,2016,5,Project Epsilon,171
17,Quinn,2016-01-01,Jan,2016,1,Project Alpha,144
18,Rose,2016-01-01,Jan,2016,1,Project Alpha,107
19,Sam,2016-01-01,Jan,2016,5,Project Epsilon,186
20,Tara,2016-01-01,Jan,2016,4,Project Delta,133
1,Alice,2016-01-02,Jan,2016,4,Project Delta,157
2,Bob,2016-01-02,Jan,2016,4,Project Delta,108
3,Charlie,2016-01-02,Jan,2016,4,Project Delta,107
4,Diana,2016-01-02,Jan,2016,2,Project Beta,154
5,Eve,2016-01-02,Jan,2016,5,Project Epsilon,72
6,Frank,2016-01-02,Jan,2016,4,Project Delta,84
7,Grace,2016-01-02,Jan,2016,1,Project Alpha,85
8,Hank,2016-01-02,Jan,2016,2,Project Beta,137
9,Ivy,2016-01-02,Jan,2016,3,Project Gamma,158
10,Jack,2016-01-02,Jan,2016,3,Project Gamma,136
11,Kelly,2016-01-02,Jan,2016,2,Project Beta,168
12,Liam,2016-01-02,Jan,2016,4,Project Delta,135
13,Mia,2016-01-02,Jan,2016,3,Project Gamma,114
14,Noah,2016-01-02,Jan,2016,1,Project Alpha,68
15,Olivia,2016-01-02,Jan,2016,3,Project Gamma,137
16,Peter,2016-01-02,Jan,2016,4,Project Delta,127
17,Quinn,2016-01-02,Jan,2016,2,Project Beta,108
18,Rose,2016-01-02,Jan,2016,5,Project Epsilon,61
19,Sam,2016-01-02,Jan,2016,4,Project Delta,112
20,Tara,2016-01-02,Jan,2016,1,Project Alpha,63
1,Alice,2016-01-03,Jan,2016,5,Project Epsilon,97
2,Bob,2016-01-03,Jan,2016,1,Project Alpha,58
3,Charlie,2016-01-03,Jan,2016,3,Project Gamma,196
4,Diana,2016-01-03,Jan,2016,5,Project Epsilon,151
5,Eve,2016-01-03,Jan,2016,1,Project Alpha,82
6,Frank,2016-01-03,Jan,2016,5,Project Epsilon,91
